multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgABHD17A_1	sgA4GALT_1	NA	sgABCB8_2	sgADAMTSL1_3	sgAAED1_2
sgABHD17A_2	sgAADAC_3	NA	sgABHD14A_4	sgALPK1_3	sgABCA3_1
sgABHD17A_3	sgABCA7_2	NA	sgACSL5_3	sgANAPC1_4	sgABCF2_4
sgABHD17A_4	sgABCB10_2	NA	sgALG10_1	sgAPBA3_3	sgACBD5_3
sgACKR4_1	sgABCB10_3	NA	sgANKRD34A_2	sgAPH1B_1	sgACD_3
sgACKR4_2	sgABCB11_3	NA	sgANXA6_1	sgAPOBEC3H_4	sgACER3_3
sgACSM2A_1	sgABCB6_3	NA	sgAPLN_3	sgBCL2L15_4	sgACOX1_3
sgACSM2B_1	sgABCE1_1	NA	sgARSD_1	sgBTG4_3	sgACPP_1
sgACSM2B_4	sgABCE1_2	NA	sgATXN7L1_4	sgC4orf45_4	sgACPT_3
sgACTB_3	sgABCE1_3	NA	sgBBIP1_1	sgCAPRIN2_4	sgACSBG2_4
sgACTR3C_1	sgABHD17C_1	NA	sgBBS4_2	sgCBLB_1	sgACTA2_3
sgACTR3C_2	sgABLIM2_3	NA	sgC12orf54_4	sgCCDC176_4	sgACTG2_3
sgAGAP4_1	sgABR_2	NA	sgC1orf177_4	sgCCDC37_2	sgADAD2_4
sgAGAP4_2	sgACAA2_1	NA	sgC3orf38_3	sgCGB7_3	sgADAMTS14_4
sgAGAP4_3	sgACAA2_3	NA	sgCABS1_2	sgCLIC6_2	sgADAMTS9_1
sgAGAP4_4	sgACAA2_4	NA	sgCALML6_2	sgCREB3L2_3	sgADGRA2_3
sgAGAP5_1	sgACACA_2	NA	sgCBR4_1	sgCST9_3	sgADGRD1_1
sgAGAP5_2	sgACAP3_4	NA	sgCCDC172_1	sgDISC1_2	sgADSS_3
sgAGAP6_1	sgACER2_3	NA	sgCCDC183_2	sgDNAAF1_3	sgAEBP1_3
sgAGAP6_2	sgACER3_1	NA	sgCCNF_2	sgDNAH6_4	sgAGMAT_4
sgAGAP9_1	sgACE_3	NA	sgCDV3_4	sgEPHA8_1	sgAGPAT5_1
sgAGAP9_2	sgACKR2_4	NA	sgCECR1_1	sgFAM205A_1	sgAGPS_4
sgAGAP9_3	sgACKR4_3	NA	sgCEP44_1	sgGOLGA6L2_4	sgAIDA_2
sgAGAP9_4	sgACKR4_4	NA	sgCFAP58_3	sgGPR26_1	sgAIF1_4
sgAHNAK2_4	sgACOT13_1	NA	sgCFHR4_3	sgHLA-A_2	sgAIMP2_4
sgAHNAK_4	sgACOT13_4	NA	sgCHML_4	sgHLA-DQB1_3	sgAK1_1
sgAIDA_1	sgACOT1_1	NA	sgCKS1B_2	sgIRF2BP2_3	sgALDH2_4
sgAIDA_3	sgACOT1_2	NA	sgCLCC1_1	sgLAMA5_4	sgALLC_1
sgAK2_1	sgACOT1_3	NA	sgCNIH1_1	sgLAMTOR5_2	sgALOX12_4
sgAK4_3	sgACOT1_4	NA	sgCOPE_2	sgLRGUK_3	sgANKH_3
sgAKAP17A_1	sgACOT2_2	NA	sgCRY1_1	sgMTMR2_4	sgANKLE1_2
sgAKAP17A_2	sgACOT2_3	NA	sgCTDSP2_1	sgPARD3B_1	sgANKLE1_3
sgAKAP17A_4	sgACOT4_1	NA	sgDDT_3	sgPKD1L3_3	sgANKRD45_2
sgAKIP1_1	sgACOT4_3	NA	sgDNAJB14_3	sgPOLR2J2_2	sgANKRD53_2
sgAKR1B15_4	sgACOT7_1	NA	sgEIF1AY_4	sgPTGDR2_3	sgANKRD66_2
sgAKR1C1_4	sgACOT9_3	NA	sgEIF4A2_2	sgRBMS3_2	sgANP32A_3
sgALG10B_1	sgACP1_4	NA	sgFAM60A_4	sgSLC22A31_3	sgANP32B_1
sgALG10B_4	sgACR_3	NA	sgFAM63B_1	sgSLC6A5_1	sgAP1M1_1
sgAMY1A_1	sgACSBG2_3	NA	sgFCER2_3	sgSPINK14_1	sgAP3S1_3
sgAMY1A_2	sgACSM2A_4	NA	sgFHL5_3	sgSRGN_4	sgAP5S1_1
sgAMY1A_3	sgACSM2B_3	NA	sgFLVCR1_2	sgTBC1D4_2	sgAPBB3_1
sgAMY1A_4	sgACSM3_1	NA	sgFSTL5_3	sgTRUB1_2	sgAPIP_1
sgAMY1B_1	sgACSM4_4	NA	sgGPR160_3	sgTUSC1_1	sgAPOL3_3
sgAMY1B_2	sgACSM5_2	NA	sgGRAMD3_2	sgZNF610_3	sgAPP_4
sgAMY1B_3	sgACSM5_3	NA	sgGRID1_3	NA	sgAQP12A_1
sgAMY1B_4	sgACSM6_3	NA	sgHMGN3_4	NA	sgARF4_1
sgAMY1C_1	sgACTA1_1	NA	sgHMX3_1	NA	sgARHGAP1_2
sgAMY1C_2	sgACTBL2_3	NA	sgHNMT_2	NA	sgARHGAP26_2
sgAMY1C_3	sgACTB_1	NA	sgISY1_1	NA	sgARHGAP42_2
sgAMY1C_4	sgACTC1_4	NA	sgKIAA0100_4	NA	sgARHGEF25_2
sgAMY2A_1	sgACTG1_4	NA	sgKRT6A_1	NA	sgARHGEF26_2
sgAMY2A_3	sgACTG2_4	NA	sgKRT83_1	NA	sgARL16_4
sgAMY2A_4	sgACTN2_1	NA	sgKRTAP29-1_2	NA	sgARL6IP4_2
sgAMY2B_4	sgACTN2_4	NA	sgKRTAP3-3_3	NA	sgARL6IP4_3
sgANKRD18A_2	sgACTN4_2	NA	sgMARCH6_2	NA	sgARL6IP4_4
sgANKRD20A1_1	sgACTR2_1	NA	sgMAST1_1	NA	sgARMC3_4
sgANKRD20A1_2	sgACTR2_3	NA	sgMDH1_3	NA	sgARPC4_4
sgANKRD20A1_3	sgACTR2_4	NA	sgMEP1B_1	NA	sgARTN_2
sgANKRD20A1_4	sgACTR3B_1	NA	sgMGAT4D_1	NA	sgASAH1_4
sgANKRD30A_1	sgACTR3B_2	NA	sgMGST1_2	NA	sgASB10_4
sgANKRD30A_2	sgACTR3B_3	NA	sgMPEG1_4	NA	sgASB16_4
sgANKRD30A_4	sgACTR3C_3	NA	sgMS4A8_4	NA	sgASGR1_2
sgANKRD36_3	sgACTR3C_4	NA	sgMYBL2_2	NA	sgASIC2_1
sgANXA8L1_1	sgACTR3_4	NA	sgNFE2_1	NA	sgASIC2_2
sgANXA8L1_2	sgACY1_4	NA	sgNUCB1_2	NA	sgATCAY_3
sgANXA8_1	sgADAM15_2	NA	sgNon-Targeting Control_429	NA	sgATE1_1
sgANXA8_2	sgADAM21_2	NA	sgOBSCN_4	NA	sgATE1_4
sgAP1S2_2	sgADAM21_3	NA	sgOR4S2_4	NA	sgATP2C2_1
sgAP1S2_3	sgADAM21_4	NA	sgOR52I2_4	NA	sgATP5C1_4
sgAP3S1_1	sgADAMTS14_1	NA	sgOR8B12_2	NA	sgATP6V0E2_1
sgAP3S1_2	sgADAMTS20_3	NA	sgPA2G4_1	NA	sgATP6V1F_2
sgAP4S1_3	sgADAMTS7_2	NA	sgPABPN1_2	NA	sgATP7A_4
sgAPBB1IP_3	sgADAMTS8_2	NA	sgPBOV1_3	NA	sgATP9A_1
sgAPELA_4	sgADAMTSL3_1	NA	sgPGLYRP3_3	NA	sgATXN2_4
sgAPOBEC3A_1	sgADAMTSL3_3	NA	sgPPP3R2_1	NA	sgB2M_3
sgAPOBEC3F_2	sgADCYAP1_1	NA	sgPSMC1_4	NA	sgB4GALT1_4
sgAPOC1_1	sgADGB_3	NA	sgPTN_3	NA	sgBAALC_3
sgAQP12A_4	sgADGRE1_3	NA	sgPYY_1	NA	sgBAIAP2_2
sgAQP12B_2	sgADH1B_1	NA	sgRAB11A_1	NA	sgBANF2_2
sgAQP12B_3	sgADH1B_2	NA	sgRASSF1_4	NA	sgBCAN_4
sgAQP12B_4	sgADH1B_4	NA	sgRGS20_4	NA	sgBCAS4_3
sgAQP7_4	sgADH1C_1	NA	sgRIMS1_1	NA	sgBCL2L12_1
sgARHGAP11B_2	sgADH1C_2	NA	sgSLC25A15_1	NA	sgBCL2L12_4
sgARHGAP11B_3	sgADH1C_3	NA	sgSLC35A5_3	NA	sgBHMT2_3
sgARHGAP11B_4	sgADH5_1	NA	sgSLIT1_3	NA	sgBLNK_2
sgARHGEF35_1	sgADH5_2	NA	sgSMC6_1	NA	sgBLVRB_2
sgARHGEF35_2	sgADH5_3	NA	sgSRA1_3	NA	sgBMX_2
sgARHGEF35_3	sgADH5_4	NA	sgSSBP2_3	NA	sgBNIP2_2
sgARHGEF35_4	sgADK_2	NA	sgST6GALNAC2_3	NA	sgBNIP2_3
sgARID3B_3	sgADORA2B_3	NA	sgSTMN1_2	NA	sgBNIP3_1
sgARL17A_1	sgADPGK_3	NA	sgSUMO4_1	NA	sgBPI_4
sgARL17A_2	sgADRA1A_1	NA	sgTADA3_2	NA	sgBRI3BP_2
sgARL17A_3	sgADSS_2	NA	sgTDRD5_3	NA	sgBSX_1
sgARL17A_4	sgADSS_4	NA	sgTIMM10_4	NA	sgBTBD19_3
sgARL17B_1	sgAEN_1	NA	sgTMEM252_4	NA	sgC10orf113_1
sgARL17B_2	sgAEN_3	NA	sgTMEM35_3	NA	sgC10orf113_2
sgARL17B_3	sgAFF4_3	NA	sgTPTE2_4	NA	sgC10orf113_3
sgARL17B_4	sgAFG3L2_2	NA	sgTREML4_1	NA	sgC10orf113_4
sgARL2BP_4	sgAGAP1_4	NA	sgTRIQK_3	NA	sgC10orf95_1
sgARL4A_1	sgAGAP5_3	NA	sgUBE2H_3	NA	sgC10orf99_4
sgARL4A_3	sgAGAP5_4	NA	sgULBP1_3	NA	sgC11orf31_1
sgARL4A_4	sgAGAP6_3	NA	sgVPS37B_2	NA	sgC11orf80_3
sgARL5A_4	sgAGAP6_4	NA	sgWBSCR28_4	NA	sgC12orf45_2
sgARL6IP1_2	sgAGK_1	NA	sgWDR75_3	NA	sgC12orf49_3
sgARMC10_1	sgAGO1_1	NA	sgWSCD2_4	NA	sgC12orf76_1
sgARMC10_3	sgAGPAT6_1	NA	sgXPA_2	NA	sgC12orf76_2
sgARPP19_1	sgAHCTF1_1	NA	sgZCRB1_4	NA	sgC12orf76_3
sgARPP19_4	sgAHCTF1_3	NA	sgZNF12_1	NA	sgC15orf27_1
sgASAH2B_1	sgAHCTF1_4	NA	sgZNF140_1	NA	sgC15orf52_1
sgASAH2B_3	sgAHCY_3	NA	sgZNF362_2	NA	sgC16orf45_4
sgASAH2B_4	sgAHNAK2_1	NA	sgZNF493_1	NA	sgC16orf47_1
sgASMTL_1	sgAHNAK2_2	NA	sgZNF566_4	NA	sgC16orf47_2
sgASMTL_2	sgAHNAK2_3	NA	sgZNF628_3	NA	sgC16orf47_3
sgASMTL_3	sgAIF1L_3	NA	sgZNF761_3	NA	sgC16orf47_4
sgASMTL_4	sgAIFM1_2	NA	NA	NA	sgC16orf71_4
sgASMT_1	sgAIM2_1	NA	NA	NA	sgC17orf64_2
sgASMT_2	sgAIMP2_2	NA	NA	NA	sgC17orf85_1
sgASMT_3	sgAIPL1_4	NA	NA	NA	sgC19orf18_3
sgASMT_4	sgAK3_3	NA	NA	NA	sgC19orf47_2
sgATP5E_3	sgAK4_4	NA	NA	NA	sgC19orf53_3
sgATP5E_4	sgAK5_1	NA	NA	NA	sgC19orf81_4
sgATP5H_2	sgAK6_1	NA	NA	NA	sgC1QBP_4
sgATP5H_4	sgAK6_3	NA	NA	NA	sgC1QTNF2_2
sgATP5J2_1	sgAK6_4	NA	NA	NA	sgC1orf162_1
sgATP5J2_3	sgAKAP17A_3	NA	NA	NA	sgC1orf162_2
sgATP5L2_2	sgAKAP5_1	NA	NA	NA	sgC1orf226_3
sgATP5L_1	sgAKIRIN2_1	NA	NA	NA	sgC20orf202_3
